Column1,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
569,Xenopidae (gen. et sp. indet.),predator ,predator,,569,Anura,3,2,5,4,4.2444444444444445,4.0,1.09375,0.603448275862069,4.570799790446426,14.83306623931624,0.5160820297446316
570,Salamandridae (Chelotriton robustus),insectivore ,insectivore,,570,Urodela,3,3,7,8,3.9416666666666664,4.0,1.09375,0.5833333333333334,4.173940872431312,3.489672249327722,0.6186649265980767
588,Fam. indet. (?Juvemys sp.),piscivore ,piscivore,,588,Testudines,2,2,2,0,4.62962962962963,5.0,0.0,0.45454545454545453,4.522158018300478,20.526185770750985,0.49745556786208084
589,Fam. indet. (Francellia messeliana),predator ,predator,,589,Testudines,3,2,7,4,4.746031746031746,4.0,35.0,0.4794520547945205,4.570799790446426,14.83306623931624,0.5160820297446316
590,Fam. indet. (Euroemys kehreri),predator ,predator,,590,Testudines,3,2,9,3,4.600823045267489,4.0,52.5,0.4976303317535545,4.570799790446426,14.83306623931624,0.5160820297446316
591,Emydidae (Allaeochelys gracilis),omnivore ,omnivore,,591,Testudines,3,2,27,1,4.202222222222222,3.0,105.0,0.7291666666666666,4.257489711934156,52.5,0.6595271535580525
592,Carettochelyidae (Allaeochelys crassesculptata),omnivore ,omnivore,,592,Testudines,3,2,17,0,4.31275720164609,4.0,0.0,0.5898876404494382,4.257489711934156,52.5,0.6595271535580525
593,"Trionychidae (""Trionyx"" messelianus)",predator ,predator,,593,Testudines,3,2,12,1,4.6879194630872485,4.0,0.0,0.4772727272727273,4.570799790446426,14.83306623931624,0.5160820297446316
594,Leidyosuchidae (Diplocynodon darwini),piscivore ,piscivore,,594,Crocodylia,3,3,8,1,4.636842105263158,4.0,0.0,0.4646017699115044,4.522158018300478,20.526185770750985,0.49745556786208084
595,Leidyosuchidae (Diplocynodon ebertsi),piscivore ,piscivore,,595,Crocodylia,3,3,9,1,4.465437788018433,4.0,0.0,0.4861111111111111,4.522158018300478,20.526185770750985,0.49745556786208084
596,Leidyosuchidae (Baryphracta deponiae),predator ,predator,,596,Crocodylia,3,3,8,1,4.396449704142012,4.0,0.0,0.5675675675675675,4.570799790446426,14.83306623931624,0.5160820297446316
597,Crocodylidae (Asiatosuchus germanicus),predator ,predator,,597,Crocodylia,3,3,5,1,5.247706422018348,5.0,0.0,0.3559322033898305,4.570799790446426,14.83306623931624,0.5160820297446316
598,Alligatoridae (Allognathosuchus haupti),predator molluscivore,predator,molluscivore,598,Crocodylia,3,3,5,2,4.63302752293578,4.0,105.0,0.5048076923076923,4.63302752293578,105.0,0.5048076923076923
599,Pristichampsidae (Pristichampsus rollinati),piscivore ,piscivore,,599,Crocodylia,3,3,11,1,4.671586715867159,4.0,0.0,0.4838709677419355,4.522158018300478,20.526185770750985,0.49745556786208084
601,Tomastomidae (gen. et sp. indet),piscivore ,piscivore,,601,Crocodylia,3,3,5,2,4.674074074074074,4.0,52.5,0.4666666666666667,4.522158018300478,20.526185770750985,0.49745556786208084
606,Sulidae (Masillastega rectirostris),piscivore ,piscivore,,606,Pelecaniformes,3,3,5,1,4.474074074074074,4.0,105.0,0.5072463768115942,4.522158018300478,20.526185770750985,0.49745556786208084
610,Idiornithidae (Idiornis cf. itardiensis),predator ,predator,,610,"""Gruiformes""",3,3,4,2,4.535714285714286,5.0,26.25,0.4751131221719457,4.570799790446426,14.83306623931624,0.5160820297446316
641,Fam. Indet. (Quasisyndactylus longibrachis),piscivore ,piscivore,,641,Alcediiformes,3,3,3,4,4.481481481481481,4.0,13.125,0.4976303317535545,4.522158018300478,20.526185770750985,0.49745556786208084
